county_fips,county,year,office,party,candidate,votes,total_votes
55001,ADAMS,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,2061,2977
55001,ADAMS,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,914,2977
55001,ADAMS,2000,SUPREME COURT,SCATTERING,SCATTERING,2,2977
55001,ADAMS,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",2338,2339
55001,ADAMS,2001,SUPREME COURT,SCATTERING,SCATTERING,1,2339
55001,ADAMS,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,2923,4912
55001,ADAMS,2003,SUPREME COURT,LIBERAL,ED BRUNNER,1986,4912
55001,ADAMS,2003,SUPREME COURT,SCATTERING,SCATTERING,3,4912
55001,ADAMS,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,2327,2328
55001,ADAMS,2005,SUPREME COURT,SCATTERING,SCATTERING,1,2328
55001,ADAMS,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,1631,1635
55001,ADAMS,2006,SUPREME COURT,SCATTERING,SCATTERING,4,1635
55001,ADAMS,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,2232,3807
55001,ADAMS,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,1567,3807
55001,ADAMS,2007,SUPREME COURT,SCATTERING,SCATTERING,8,3807
55001,ADAMS,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,1329,2526
55001,ADAMS,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,1197,2526
55001,ADAMS,2008,SUPREME COURT,SCATTERING,SCATTERING,0,2526
55001,ADAMS,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,1210,3245
55001,ADAMS,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,2029,3245
55001,ADAMS,2009,SUPREME COURT,SCATTERING,SCATTERING,6,3245
55001,ADAMS,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",2385,4947
55001,ADAMS,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,2557,4947
55001,ADAMS,2011,SUPREME COURT,SCATTERING,SCATTERING,5,4947
55001,ADAMS,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,2207,3587
55001,ADAMS,2013,SUPREME COURT,LIBERAL,ED FALLONE,1380,3587
55001,ADAMS,2013,SUPREME COURT,SCATTERING,SCATTERING,0,3587
55001,ADAMS,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,1521,4073
55001,ADAMS,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,2549,4073
55001,ADAMS,2015,SUPREME COURT,SCATTERING,SCATTERING,3,4073
55001,ADAMS,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,3524,6481
55001,ADAMS,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,2948,6481
55001,ADAMS,2016,SUPREME COURT,SCATTERING,SCATTERING,9,6481
55001,ADAMS,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,1980,1980
55001,ADAMS,2017,SUPREME COURT,SCATTERING,SCATTERING,0,1980
55001,ADAMS,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,1912,3806
55001,ADAMS,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,1892,3806
55001,ADAMS,2018,SUPREME COURT,SCATTERING,SCATTERING,2,3806
55001,ADAMS,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,2401,4313
55001,ADAMS,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,1911,4313
55001,ADAMS,2019,SUPREME COURT,SCATTERING,SCATTERING,1,4313
55001,ADAMS,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,2912,5481
55001,ADAMS,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,2568,5481
55001,ADAMS,2020,SUPREME COURT,SCATTERING,SCATTERING,1,5481
55001,ADAMS,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,4192,7465
55001,ADAMS,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,3242,7465
55001,ADAMS,2023,SUPREME COURT,SCATTERING,SCATTERING,31,7465
55001,ADAMS,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,5171,8777
55001,ADAMS,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,3600,8777
55001,ADAMS,2025,SUPREME COURT,SCATTERING,SCATTERING,6,8777
55003,ASHLAND,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,1081,1720
55003,ASHLAND,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,637,1720
55003,ASHLAND,2000,SUPREME COURT,SCATTERING,SCATTERING,2,1720
55003,ASHLAND,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",2034,2037
55003,ASHLAND,2001,SUPREME COURT,SCATTERING,SCATTERING,3,2037
55003,ASHLAND,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,1070,3102
55003,ASHLAND,2003,SUPREME COURT,LIBERAL,ED BRUNNER,2031,3102
55003,ASHLAND,2003,SUPREME COURT,SCATTERING,SCATTERING,1,3102
55003,ASHLAND,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,2053,2057
55003,ASHLAND,2005,SUPREME COURT,SCATTERING,SCATTERING,4,2057
55003,ASHLAND,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,2372,2374
55003,ASHLAND,2006,SUPREME COURT,SCATTERING,SCATTERING,2,2374
55003,ASHLAND,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,1286,2827
55003,ASHLAND,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,1534,2827
55003,ASHLAND,2007,SUPREME COURT,SCATTERING,SCATTERING,7,2827
55003,ASHLAND,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,1178,2484
55003,ASHLAND,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,1296,2484
55003,ASHLAND,2008,SUPREME COURT,SCATTERING,SCATTERING,10,2484
55003,ASHLAND,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,1073,3064
55003,ASHLAND,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,1984,3064
55003,ASHLAND,2009,SUPREME COURT,SCATTERING,SCATTERING,7,3064
55003,ASHLAND,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",1384,4653
55003,ASHLAND,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,3266,4653
55003,ASHLAND,2011,SUPREME COURT,SCATTERING,SCATTERING,3,4653
55003,ASHLAND,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,964,2462
55003,ASHLAND,2013,SUPREME COURT,LIBERAL,ED FALLONE,1490,2462
55003,ASHLAND,2013,SUPREME COURT,SCATTERING,SCATTERING,8,2462
55003,ASHLAND,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,654,2326
55003,ASHLAND,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,1670,2326
55003,ASHLAND,2015,SUPREME COURT,SCATTERING,SCATTERING,2,2326
55003,ASHLAND,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,1965,5273
55003,ASHLAND,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,3305,5273
55003,ASHLAND,2016,SUPREME COURT,SCATTERING,SCATTERING,3,5273
55003,ASHLAND,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,1867,1926
55003,ASHLAND,2017,SUPREME COURT,SCATTERING,SCATTERING,59,1926
55003,ASHLAND,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,940,2856
55003,ASHLAND,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,1903,2856
55003,ASHLAND,2018,SUPREME COURT,SCATTERING,SCATTERING,13,2856
55003,ASHLAND,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,1262,3209
55003,ASHLAND,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,1943,3209
55003,ASHLAND,2019,SUPREME COURT,SCATTERING,SCATTERING,4,3209
55003,ASHLAND,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,1468,3826
55003,ASHLAND,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,2351,3826
55003,ASHLAND,2020,SUPREME COURT,SCATTERING,SCATTERING,7,3826
55003,ASHLAND,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,1763,4790
55003,ASHLAND,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,3022,4790
55003,ASHLAND,2023,SUPREME COURT,SCATTERING,SCATTERING,5,4790
55003,ASHLAND,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,2816,6692
55003,ASHLAND,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,3869,6692
55003,ASHLAND,2025,SUPREME COURT,SCATTERING,SCATTERING,7,6692
55005,BARRON,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,4112,5874
55005,BARRON,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,1762,5874
55005,BARRON,2000,SUPREME COURT,SCATTERING,SCATTERING,0,5874
55005,BARRON,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",4672,4672
55005,BARRON,2001,SUPREME COURT,SCATTERING,SCATTERING,0,4672
55005,BARRON,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,1122,7756
55005,BARRON,2003,SUPREME COURT,LIBERAL,ED BRUNNER,6633,7756
55005,BARRON,2003,SUPREME COURT,SCATTERING,SCATTERING,1,7756
55005,BARRON,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,3390,3394
55005,BARRON,2005,SUPREME COURT,SCATTERING,SCATTERING,4,3394
55005,BARRON,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,3766,3772
55005,BARRON,2006,SUPREME COURT,SCATTERING,SCATTERING,6,3772
55005,BARRON,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,3023,6020
55005,BARRON,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,2990,6020
55005,BARRON,2007,SUPREME COURT,SCATTERING,SCATTERING,7,6020
55005,BARRON,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,5324,9118
55005,BARRON,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,3779,9118
55005,BARRON,2008,SUPREME COURT,SCATTERING,SCATTERING,15,9118
55005,BARRON,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,2160,4661
55005,BARRON,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,2500,4661
55005,BARRON,2009,SUPREME COURT,SCATTERING,SCATTERING,1,4661
55005,BARRON,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",4708,9352
55005,BARRON,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,4641,9352
55005,BARRON,2011,SUPREME COURT,SCATTERING,SCATTERING,3,9352
55005,BARRON,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,3509,6093
55005,BARRON,2013,SUPREME COURT,LIBERAL,ED FALLONE,2581,6093
55005,BARRON,2013,SUPREME COURT,SCATTERING,SCATTERING,3,6093
55005,BARRON,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,2448,5357
55005,BARRON,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,2904,5357
55005,BARRON,2015,SUPREME COURT,SCATTERING,SCATTERING,5,5357
55005,BARRON,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,7412,13773
55005,BARRON,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,6347,13773
55005,BARRON,2016,SUPREME COURT,SCATTERING,SCATTERING,14,13773
55005,BARRON,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,4405,4439
55005,BARRON,2017,SUPREME COURT,SCATTERING,SCATTERING,34,4439
55005,BARRON,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,3123,5889
55005,BARRON,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,2762,5889
55005,BARRON,2018,SUPREME COURT,SCATTERING,SCATTERING,4,5889
55005,BARRON,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,4657,7737
55005,BARRON,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,3075,7737
55005,BARRON,2019,SUPREME COURT,SCATTERING,SCATTERING,5,7737
55005,BARRON,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,5882,10785
55005,BARRON,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,4902,10785
55005,BARRON,2020,SUPREME COURT,SCATTERING,SCATTERING,1,10785
55005,BARRON,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,7732,13071
55005,BARRON,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,5316,13071
55005,BARRON,2023,SUPREME COURT,SCATTERING,SCATTERING,23,13071
55005,BARRON,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,10719,17762
55005,BARRON,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,7037,17762
55005,BARRON,2025,SUPREME COURT,SCATTERING,SCATTERING,6,17762
55007,BAYFIELD,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,1480,2277
55007,BAYFIELD,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,796,2277
55007,BAYFIELD,2000,SUPREME COURT,SCATTERING,SCATTERING,1,2277
55007,BAYFIELD,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",3967,3969
55007,BAYFIELD,2001,SUPREME COURT,SCATTERING,SCATTERING,2,3969
55007,BAYFIELD,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,1401,4219
55007,BAYFIELD,2003,SUPREME COURT,LIBERAL,ED BRUNNER,2817,4219
55007,BAYFIELD,2003,SUPREME COURT,SCATTERING,SCATTERING,1,4219
55007,BAYFIELD,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,2715,2721
55007,BAYFIELD,2005,SUPREME COURT,SCATTERING,SCATTERING,6,2721
55007,BAYFIELD,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,1586,1588
55007,BAYFIELD,2006,SUPREME COURT,SCATTERING,SCATTERING,2,1588
55007,BAYFIELD,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,1321,3039
55007,BAYFIELD,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,1715,3039
55007,BAYFIELD,2007,SUPREME COURT,SCATTERING,SCATTERING,3,3039
55007,BAYFIELD,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,1589,3482
55007,BAYFIELD,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,1884,3482
55007,BAYFIELD,2008,SUPREME COURT,SCATTERING,SCATTERING,9,3482
55007,BAYFIELD,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,1465,4547
55007,BAYFIELD,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,3079,4547
55007,BAYFIELD,2009,SUPREME COURT,SCATTERING,SCATTERING,3,4547
55007,BAYFIELD,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",1958,5919
55007,BAYFIELD,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,3960,5919
55007,BAYFIELD,2011,SUPREME COURT,SCATTERING,SCATTERING,1,5919
55007,BAYFIELD,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,1342,3299
55007,BAYFIELD,2013,SUPREME COURT,LIBERAL,ED FALLONE,1956,3299
55007,BAYFIELD,2013,SUPREME COURT,SCATTERING,SCATTERING,1,3299
55007,BAYFIELD,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,953,3210
55007,BAYFIELD,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,2243,3210
55007,BAYFIELD,2015,SUPREME COURT,SCATTERING,SCATTERING,14,3210
55007,BAYFIELD,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,2447,6498
55007,BAYFIELD,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,4044,6498
55007,BAYFIELD,2016,SUPREME COURT,SCATTERING,SCATTERING,7,6498
55007,BAYFIELD,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,2414,2566
55007,BAYFIELD,2017,SUPREME COURT,SCATTERING,SCATTERING,152,2566
55007,BAYFIELD,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,1550,4412
55007,BAYFIELD,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,2862,4412
55007,BAYFIELD,2018,SUPREME COURT,SCATTERING,SCATTERING,0,4412
55007,BAYFIELD,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,1841,4852
55007,BAYFIELD,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,3009,4852
55007,BAYFIELD,2019,SUPREME COURT,SCATTERING,SCATTERING,2,4852
55007,BAYFIELD,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,2237,5988
55007,BAYFIELD,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,3750,5988
55007,BAYFIELD,2020,SUPREME COURT,SCATTERING,SCATTERING,1,5988
55007,BAYFIELD,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,2440,6797
55007,BAYFIELD,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,4343,6797
55007,BAYFIELD,2023,SUPREME COURT,SCATTERING,SCATTERING,14,6797
55007,BAYFIELD,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,3413,8643
55007,BAYFIELD,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,5228,8643
55007,BAYFIELD,2025,SUPREME COURT,SCATTERING,SCATTERING,2,8643
55009,BROWN,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,22977,34742
55009,BROWN,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,11714,34742
55009,BROWN,2000,SUPREME COURT,SCATTERING,SCATTERING,51,34742
55009,BROWN,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",23570,23666
55009,BROWN,2001,SUPREME COURT,SCATTERING,SCATTERING,96,23666
55009,BROWN,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,22515,43333
55009,BROWN,2003,SUPREME COURT,LIBERAL,ED BRUNNER,20753,43333
55009,BROWN,2003,SUPREME COURT,SCATTERING,SCATTERING,65,43333
55009,BROWN,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,22130,22220
55009,BROWN,2005,SUPREME COURT,SCATTERING,SCATTERING,90,22220
55009,BROWN,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,25829,25991
55009,BROWN,2006,SUPREME COURT,SCATTERING,SCATTERING,162,25991
55009,BROWN,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,24799,37949
55009,BROWN,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,13016,37949
55009,BROWN,2007,SUPREME COURT,SCATTERING,SCATTERING,134,37949
55009,BROWN,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,15603,29423
55009,BROWN,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,13666,29423
55009,BROWN,2008,SUPREME COURT,SCATTERING,SCATTERING,154,29423
55009,BROWN,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,9214,23983
55009,BROWN,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,14754,23983
55009,BROWN,2009,SUPREME COURT,SCATTERING,SCATTERING,15,23983
55009,BROWN,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",33345,60692
55009,BROWN,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,27242,60692
55009,BROWN,2011,SUPREME COURT,SCATTERING,SCATTERING,105,60692
55009,BROWN,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,17988,30861
55009,BROWN,2013,SUPREME COURT,LIBERAL,ED FALLONE,12861,30861
55009,BROWN,2013,SUPREME COURT,SCATTERING,SCATTERING,12,30861
55009,BROWN,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,15447,37256
55009,BROWN,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,21747,37256
55009,BROWN,2015,SUPREME COURT,SCATTERING,SCATTERING,62,37256
55009,BROWN,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,47989,83053
55009,BROWN,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,34854,83053
55009,BROWN,2016,SUPREME COURT,SCATTERING,SCATTERING,210,83053
55009,BROWN,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,23574,24027
55009,BROWN,2017,SUPREME COURT,SCATTERING,SCATTERING,453,24027
55009,BROWN,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,17458,38962
55009,BROWN,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,21445,38962
55009,BROWN,2018,SUPREME COURT,SCATTERING,SCATTERING,59,38962
55009,BROWN,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,27027,51092
55009,BROWN,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,24031,51092
55009,BROWN,2019,SUPREME COURT,SCATTERING,SCATTERING,34,51092
55009,BROWN,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,27503,57506
55009,BROWN,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,29966,57506
55009,BROWN,2020,SUPREME COURT,SCATTERING,SCATTERING,37,57506
55009,BROWN,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,37135,76980
55009,BROWN,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,39667,76980
55009,BROWN,2023,SUPREME COURT,SCATTERING,SCATTERING,178,76980
55009,BROWN,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,48228,99685
55009,BROWN,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,51403,99685
55009,BROWN,2025,SUPREME COURT,SCATTERING,SCATTERING,54,99685
55011,BUFFALO,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,1011,1522
55011,BUFFALO,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,511,1522
55011,BUFFALO,2000,SUPREME COURT,SCATTERING,SCATTERING,0,1522
55011,BUFFALO,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",1398,1398
55011,BUFFALO,2001,SUPREME COURT,SCATTERING,SCATTERING,0,1398
55011,BUFFALO,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,485,1660
55011,BUFFALO,2003,SUPREME COURT,LIBERAL,ED BRUNNER,1175,1660
55011,BUFFALO,2003,SUPREME COURT,SCATTERING,SCATTERING,0,1660
55011,BUFFALO,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,1164,1164
55011,BUFFALO,2005,SUPREME COURT,SCATTERING,SCATTERING,0,1164
55011,BUFFALO,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,2072,2072
55011,BUFFALO,2006,SUPREME COURT,SCATTERING,SCATTERING,0,2072
55011,BUFFALO,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,1028,1714
55011,BUFFALO,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,682,1714
55011,BUFFALO,2007,SUPREME COURT,SCATTERING,SCATTERING,4,1714
55011,BUFFALO,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,1109,1882
55011,BUFFALO,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,767,1882
55011,BUFFALO,2008,SUPREME COURT,SCATTERING,SCATTERING,6,1882
55011,BUFFALO,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,683,1801
55011,BUFFALO,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,1118,1801
55011,BUFFALO,2009,SUPREME COURT,SCATTERING,SCATTERING,0,1801
55011,BUFFALO,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",1687,3299
55011,BUFFALO,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,1608,3299
55011,BUFFALO,2011,SUPREME COURT,SCATTERING,SCATTERING,4,3299
55011,BUFFALO,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,1219,2115
55011,BUFFALO,2013,SUPREME COURT,LIBERAL,ED FALLONE,895,2115
55011,BUFFALO,2013,SUPREME COURT,SCATTERING,SCATTERING,1,2115
55011,BUFFALO,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,896,2366
55011,BUFFALO,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,1469,2366
55011,BUFFALO,2015,SUPREME COURT,SCATTERING,SCATTERING,1,2366
55011,BUFFALO,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,2557,4611
55011,BUFFALO,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,2045,4611
55011,BUFFALO,2016,SUPREME COURT,SCATTERING,SCATTERING,9,4611
55011,BUFFALO,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,1607,1618
55011,BUFFALO,2017,SUPREME COURT,SCATTERING,SCATTERING,11,1618
55011,BUFFALO,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,1645,3111
55011,BUFFALO,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,1463,3111
55011,BUFFALO,2018,SUPREME COURT,SCATTERING,SCATTERING,3,3111
55011,BUFFALO,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,1442,2599
55011,BUFFALO,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,1154,2599
55011,BUFFALO,2019,SUPREME COURT,SCATTERING,SCATTERING,3,2599
55011,BUFFALO,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,1841,3588
55011,BUFFALO,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,1747,3588
55011,BUFFALO,2020,SUPREME COURT,SCATTERING,SCATTERING,0,3588
55011,BUFFALO,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,2161,3934
55011,BUFFALO,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,1765,3934
55011,BUFFALO,2023,SUPREME COURT,SCATTERING,SCATTERING,8,3934
55011,BUFFALO,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,3227,5585
55011,BUFFALO,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,2310,5585
55011,BUFFALO,2025,SUPREME COURT,SCATTERING,SCATTERING,48,5585
55013,BURNETT,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,1465,2186
55013,BURNETT,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,720,2186
55013,BURNETT,2000,SUPREME COURT,SCATTERING,SCATTERING,1,2186
55013,BURNETT,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",1848,1849
55013,BURNETT,2001,SUPREME COURT,SCATTERING,SCATTERING,1,1849
55013,BURNETT,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,1233,3506
