county,municipality,ctv,reporting_unit,votes,candidate,party,year,total_votes
Adams,Adams,Town,Wards 1 & 2,61,Mike Gableman,Conservative,2008,119
Adams,Adams,Town,Wards 1 & 2,58,Louis Butler,Liberal,2008,119
Adams,Adams,Town,Wards 1 & 2,0,Scattering,Scattering,2008,119
Adams,Big Flats,Town,Ward 1,58,Mike Gableman,Conservative,2008,113
Adams,Big Flats,Town,Ward 1,55,Louis Butler,Liberal,2008,113
Adams,Big Flats,Town,Ward 1,0,Scattering,Scattering,2008,113
Adams,Colburn,Town,Ward 1,18,Mike Gableman,Conservative,2008,27
Adams,Colburn,Town,Ward 1,9,Louis Butler,Liberal,2008,27
Adams,Colburn,Town,Ward 1,0,Scattering,Scattering,2008,27
Adams,Dell Prairie,Town,Wards 1 & 2,61,Mike Gableman,Conservative,2008,134
Adams,Dell Prairie,Town,Wards 1 & 2,73,Louis Butler,Liberal,2008,134
Adams,Dell Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2008,134
Adams,Easton,Town,Wards 1 & 2,63,Mike Gableman,Conservative,2008,128
Adams,Easton,Town,Wards 1 & 2,65,Louis Butler,Liberal,2008,128
Adams,Easton,Town,Wards 1 & 2,0,Scattering,Scattering,2008,128
Adams,Jackson,Town,Ward 1,71,Mike Gableman,Conservative,2008,113
Adams,Jackson,Town,Ward 1,42,Louis Butler,Liberal,2008,113
Adams,Jackson,Town,Ward 1,0,Scattering,Scattering,2008,113
Adams,Leola,Town,Ward 1,45,Mike Gableman,Conservative,2008,66
Adams,Leola,Town,Ward 1,21,Louis Butler,Liberal,2008,66
Adams,Leola,Town,Ward 1,0,Scattering,Scattering,2008,66
Adams,Lincoln,Town,Ward 1,24,Mike Gableman,Conservative,2008,36
Adams,Lincoln,Town,Ward 1,12,Louis Butler,Liberal,2008,36
Adams,Lincoln,Town,Ward 1,0,Scattering,Scattering,2008,36
Adams,Monroe,Town,Ward 1,30,Mike Gableman,Conservative,2008,50
Adams,Monroe,Town,Ward 1,20,Louis Butler,Liberal,2008,50
Adams,Monroe,Town,Ward 1,0,Scattering,Scattering,2008,50
Adams,New Chester,Town,Wards 1 & 2,37,Mike Gableman,Conservative,2008,86
Adams,New Chester,Town,Wards 1 & 2,49,Louis Butler,Liberal,2008,86
