county,municipality,ctv,reporting_unit,votes,candidate,party,year,total_votes
Adams,Adams,Town,Wards 1 & 2,35,Randy R Koschnick,Conservative,2009,114
Adams,Adams,Town,Wards 1 & 2,79,Shirley S Abrahamson,Liberal,2009,114
Adams,Adams,Town,Wards 1 & 2,0,Scattering,Scattering,2009,114
Adams,Big Flats,Town,Ward 1,56,Randy R Koschnick,Conservative,2009,158
Adams,Big Flats,Town,Ward 1,102,Shirley S Abrahamson,Liberal,2009,158
Adams,Big Flats,Town,Ward 1,0,Scattering,Scattering,2009,158
Adams,Colburn,Town,Ward 1,22,Randy R Koschnick,Conservative,2009,59
Adams,Colburn,Town,Ward 1,37,Shirley S Abrahamson,Liberal,2009,59
Adams,Colburn,Town,Ward 1,0,Scattering,Scattering,2009,59
Adams,Dell Prairie,Town,Wards 1 & 2,123,Randy R Koschnick,Conservative,2009,337
Adams,Dell Prairie,Town,Wards 1 & 2,209,Shirley S Abrahamson,Liberal,2009,337
Adams,Dell Prairie,Town,Wards 1 & 2,5,Scattering,Scattering,2009,337
Adams,Easton,Town,Wards 1 & 2,71,Randy R Koschnick,Conservative,2009,187
Adams,Easton,Town,Wards 1 & 2,116,Shirley S Abrahamson,Liberal,2009,187
Adams,Easton,Town,Wards 1 & 2,0,Scattering,Scattering,2009,187
Adams,Jackson,Town,Ward 1,63,Randy R Koschnick,Conservative,2009,144
Adams,Jackson,Town,Ward 1,81,Shirley S Abrahamson,Liberal,2009,144
Adams,Jackson,Town,Ward 1,0,Scattering,Scattering,2009,144
Adams,Leola,Town,Ward 1,18,Randy R Koschnick,Conservative,2009,35
Adams,Leola,Town,Ward 1,17,Shirley S Abrahamson,Liberal,2009,35
Adams,Leola,Town,Ward 1,0,Scattering,Scattering,2009,35
Adams,Lincoln,Town,Ward 1,24,Randy R Koschnick,Conservative,2009,60
Adams,Lincoln,Town,Ward 1,36,Shirley S Abrahamson,Liberal,2009,60
Adams,Lincoln,Town,Ward 1,0,Scattering,Scattering,2009,60
Adams,Monroe,Town,Ward 1,34,Randy R Koschnick,Conservative,2009,96
Adams,Monroe,Town,Ward 1,62,Shirley S Abrahamson,Liberal,2009,96
Adams,Monroe,Town,Ward 1,0,Scattering,Scattering,2009,96
Adams,New Chester,Town,Wards 1 & 2,27,Randy R Koschnick,Conservative,2009,81
Adams,New Chester,Town,Wards 1 & 2,54,Shirley S Abrahamson,Liberal,2009,81
Adams,New Chester,Town,Wards 1 & 2,0,Scattering,Scattering,2009,81
Adams,New Haven,Town,Ward 1,86,Randy R Koschnick,Conservative,2009,219
Adams,New Haven,Town,Ward 1,133,Shirley S Abrahamson,Liberal,2009,219
Adams,New Haven,Town,Ward 1,0,Scattering,Scattering,2009,219
Adams,Preston,Town,Wards 1 - 3,62,Randy R Koschnick,Conservative,2009,179
Adams,Preston,Town,Wards 1 - 3,117,Shirley S Abrahamson,Liberal,2009,179
Adams,Preston,Town,Wards 1 - 3,0,Scattering,Scattering,2009,179
Adams,Quincy,Town,Wards 1 & 2,42,Randy R Koschnick,Conservative,2009,102
Adams,Quincy,Town,Wards 1 & 2,59,Shirley S Abrahamson,Liberal,2009,102
Adams,Quincy,Town,Wards 1 & 2,1,Scattering,Scattering,2009,102
Adams,Richfield,Town,Ward 1,13,Randy R Koschnick,Conservative,2009,39
Adams,Richfield,Town,Ward 1,26,Shirley S Abrahamson,Liberal,2009,39
Adams,Richfield,Town,Ward 1,0,Scattering,Scattering,2009,39
Adams,Rome,Town,Wards 1 - 5,357,Randy R Koschnick,Conservative,2009,836
Adams,Rome,Town,Wards 1 - 5,479,Shirley S Abrahamson,Liberal,2009,836
Adams,Rome,Town,Wards 1 - 5,0,Scattering,Scattering,2009,836
Adams,Springville,Town,Wards 1 & 2,34,Randy R Koschnick,Conservative,2009,75
Adams,Springville,Town,Wards 1 & 2,41,Shirley S Abrahamson,Liberal,2009,75
Adams,Springville,Town,Wards 1 & 2,0,Scattering,Scattering,2009,75
Adams,Strongs Prairie,Town,Wards 1 & 2,42,Randy R Koschnick,Conservative,2009,104
Adams,Strongs Prairie,Town,Wards 1 & 2,62,Shirley S Abrahamson,Liberal,2009,104
Adams,Strongs Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2009,104
