county,municipality,ctv,reporting_unit,votes,candidate,party,year,total_votes
Adams,Adams,Town,Wards 1 & 2,69,Linda M Clifford,Liberal,2007,131
Adams,Adams,Town,Wards 1 & 2,61,Annette K Ziegler,Conservative,2007,131
Adams,Adams,Town,Wards 1 & 2,1,Scattering,Scattering,2007,131
Adams,Big Flats,Town,Ward 1,64,Linda M Clifford,Liberal,2007,165
Adams,Big Flats,Town,Ward 1,100,Annette K Ziegler,Conservative,2007,165
Adams,Big Flats,Town,Ward 1,1,Scattering,Scattering,2007,165
Adams,Colburn,Town,Ward 1,19,Linda M Clifford,Liberal,2007,46
Adams,Colburn,Town,Ward 1,27,Annette K Ziegler,Conservative,2007,46
Adams,Colburn,Town,Ward 1,0,Scattering,Scattering,2007,46
Adams,Dell Prairie,Town,Wards 1 & 2,203,Linda M Clifford,Liberal,2007,469
Adams,Dell Prairie,Town,Wards 1 & 2,266,Annette K Ziegler,Conservative,2007,469
Adams,Dell Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2007,469
Adams,Easton,Town,Wards 1 & 2,53,Linda M Clifford,Liberal,2007,125
Adams,Easton,Town,Wards 1 & 2,72,Annette K Ziegler,Conservative,2007,125
Adams,Easton,Town,Wards 1 & 2,0,Scattering,Scattering,2007,125
Adams,Jackson,Town,Ward 1,48,Linda M Clifford,Liberal,2007,140
Adams,Jackson,Town,Ward 1,92,Annette K Ziegler,Conservative,2007,140
Adams,Jackson,Town,Ward 1,0,Scattering,Scattering,2007,140
Adams,Leola,Town,Ward 1,29,Linda M Clifford,Liberal,2007,66
Adams,Leola,Town,Ward 1,37,Annette K Ziegler,Conservative,2007,66
Adams,Leola,Town,Ward 1,0,Scattering,Scattering,2007,66
Adams,Lincoln,Town,Ward 1,13,Linda M Clifford,Liberal,2007,41
Adams,Lincoln,Town,Ward 1,28,Annette K Ziegler,Conservative,2007,41
Adams,Lincoln,Town,Ward 1,0,Scattering,Scattering,2007,41
Adams,Monroe,Town,Ward 1,41,Linda M Clifford,Liberal,2007,107
Adams,Monroe,Town,Ward 1,66,Annette K Ziegler,Conservative,2007,107
Adams,Monroe,Town,Ward 1,0,Scattering,Scattering,2007,107
Adams,New Chester,Town,Wards 1 & 2,66,Linda M Clifford,Liberal,2007,143
Adams,New Chester,Town,Wards 1 & 2,77,Annette K Ziegler,Conservative,2007,143
Adams,New Chester,Town,Wards 1 & 2,0,Scattering,Scattering,2007,143
Adams,New Haven,Town,Ward 1,102,Linda M Clifford,Liberal,2007,240
Adams,New Haven,Town,Ward 1,138,Annette K Ziegler,Conservative,2007,240
Adams,New Haven,Town,Ward 1,0,Scattering,Scattering,2007,240
Adams,Preston,Town,Wards 1 - 3,55,Linda M Clifford,Liberal,2007,138
Adams,Preston,Town,Wards 1 - 3,82,Annette K Ziegler,Conservative,2007,138
Adams,Preston,Town,Wards 1 - 3,1,Scattering,Scattering,2007,138
Adams,Quincy,Town,Wards 1 & 2,69,Linda M Clifford,Liberal,2007,130
Adams,Quincy,Town,Wards 1 & 2,61,Annette K Ziegler,Conservative,2007,130
Adams,Quincy,Town,Wards 1 & 2,0,Scattering,Scattering,2007,130
Adams,Richfield,Town,Ward 1,10,Linda M Clifford,Liberal,2007,24
Adams,Richfield,Town,Ward 1,14,Annette K Ziegler,Conservative,2007,24
Adams,Richfield,Town,Ward 1,0,Scattering,Scattering,2007,24
Adams,Rome,Town,Wards 1 - 5,408,Linda M Clifford,Liberal,2007,1053
Adams,Rome,Town,Wards 1 - 5,642,Annette K Ziegler,Conservative,2007,1053
Adams,Rome,Town,Wards 1 - 5,3,Scattering,Scattering,2007,1053
Adams,Springville,Town,Wards 1 & 2,52,Linda M Clifford,Liberal,2007,126
Adams,Springville,Town,Wards 1 & 2,74,Annette K Ziegler,Conservative,2007,126
Adams,Springville,Town,Wards 1 & 2,0,Scattering,Scattering,2007,126
Adams,Strongs Prairie,Town,Wards 1 & 2,94,Linda M Clifford,Liberal,2007,243
Adams,Strongs Prairie,Town,Wards 1 & 2,149,Annette K Ziegler,Conservative,2007,243
Adams,Strongs Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2007,243
Adams,Friendship,Village,Ward 1,49,Linda M Clifford,Liberal,2007,108
Adams,Friendship,Village,Ward 1,58,Annette K Ziegler,Conservative,2007,108
Adams,Friendship,Village,Ward 1,1,Scattering,Scattering,2007,108
Adams,Adams,City,Wards 1 - 5,123,Linda M Clifford,Liberal,2007,309
Adams,Adams,City,Wards 1 - 5,185,Annette K Ziegler,Conservative,2007,309
Adams,Adams,City,Wards 1 - 5,1,Scattering,Scattering,2007,309
Adams,Wisconsin Dells,City,Ward 5,0,Linda M Clifford,Liberal,2007,3
Adams,Wisconsin Dells,City,Ward 5,3,Annette K Ziegler,Conservative,2007,3
Adams,Wisconsin Dells,City,Ward 5,0,Scattering,Scattering,2007,3
Ashland,Agenda,Town,Ward 1,34,Linda M Clifford,Liberal,2007,68
Ashland,Agenda,Town,Ward 1,34,Annette K Ziegler,Conservative,2007,68
Ashland,Agenda,Town,Ward 1,0,Scattering,Scattering,2007,68
Ashland,Ashland,Town,Ward 1,31,Linda M Clifford,Liberal,2007,50
Ashland,Ashland,Town,Ward 1,19,Annette K Ziegler,Conservative,2007,50
Ashland,Ashland,Town,Ward 1,0,Scattering,Scattering,2007,50
Ashland,Chippewa,Town,Ward 1,27,Linda M Clifford,Liberal,2007,58
Ashland,Chippewa,Town,Ward 1,31,Annette K Ziegler,Conservative,2007,58
Ashland,Chippewa,Town,Ward 1,0,Scattering,Scattering,2007,58
Ashland,Gingles,Town,Wards 1 & 2,127,Linda M Clifford,Liberal,2007,247
Ashland,Gingles,Town,Wards 1 & 2,120,Annette K Ziegler,Conservative,2007,247
Ashland,Gingles,Town,Wards 1 & 2,0,Scattering,Scattering,2007,247
Ashland,Gordon,Town,Ward 1,64,Linda M Clifford,Liberal,2007,132
Ashland,Gordon,Town,Ward 1,68,Annette K Ziegler,Conservative,2007,132
Ashland,Gordon,Town,Ward 1,0,Scattering,Scattering,2007,132
Ashland,Jacobs,Town,Ward 1,136,Linda M Clifford,Liberal,2007,269
Ashland,Jacobs,Town,Ward 1,133,Annette K Ziegler,Conservative,2007,269
Ashland,Jacobs,Town,Ward 1,0,Scattering,Scattering,2007,269
Ashland,La Pointe,Town,Ward 1,101,Linda M Clifford,Liberal,2007,147
Ashland,La Pointe,Town,Ward 1,43,Annette K Ziegler,Conservative,2007,147
Ashland,La Pointe,Town,Ward 1,3,Scattering,Scattering,2007,147
Ashland,Marengo,Town,Wards 1 & 2,37,Linda M Clifford,Liberal,2007,55
Ashland,Marengo,Town,Wards 1 & 2,18,Annette K Ziegler,Conservative,2007,55
Ashland,Marengo,Town,Wards 1 & 2,0,Scattering,Scattering,2007,55
Ashland,Morse,Town,Wards 1 & 2,50,Linda M Clifford,Liberal,2007,75
Ashland,Morse,Town,Wards 1 & 2,25,Annette K Ziegler,Conservative,2007,75
Ashland,Morse,Town,Wards 1 & 2,0,Scattering,Scattering,2007,75
Ashland,Peeksville,Town,Ward 1,41,Linda M Clifford,Liberal,2007,85
Ashland,Peeksville,Town,Ward 1,44,Annette K Ziegler,Conservative,2007,85
Ashland,Peeksville,Town,Ward 1,0,Scattering,Scattering,2007,85
Ashland,Sanborn,Town,Wards 1 & 2,34,Linda M Clifford,Liberal,2007,75
Ashland,Sanborn,Town,Wards 1 & 2,40,Annette K Ziegler,Conservative,2007,75
Ashland,Sanborn,Town,Wards 1 & 2,1,Scattering,Scattering,2007,75
Ashland,Shanagolden,Town,Ward 1,33,Linda M Clifford,Liberal,2007,49
Ashland,Shanagolden,Town,Ward 1,16,Annette K Ziegler,Conservative,2007,49
Ashland,Shanagolden,Town,Ward 1,0,Scattering,Scattering,2007,49
Ashland,White River,Town,Wards 1 - 3,62,Linda M Clifford,Liberal,2007,171
Ashland,White River,Town,Wards 1 - 3,109,Annette K Ziegler,Conservative,2007,171
