year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2025,FEBRUARY,ADAMS,TOWN OF ADAMS WARDS 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,80,19
2025,FEBRUARY,ADAMS,TOWN OF BIG FLATS WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,59,22
2025,FEBRUARY,ADAMS,TOWN OF COLBURN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,17,3
2025,FEBRUARY,ADAMS,TOWN OF DELL PRAIRIE WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,88,28
2025,FEBRUARY,ADAMS,TOWN OF EASTON WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,58,10
2025,FEBRUARY,ADAMS,TOWN OF JACKSON WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,86,26
2025,FEBRUARY,ADAMS,TOWN OF LEOLA WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,22,0
2025,FEBRUARY,ADAMS,TOWN OF LINCOLN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,55,12
2025,FEBRUARY,ADAMS,TOWN OF MONROE WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,43,5
2025,FEBRUARY,ADAMS,TOWN OF NEW CHESTER WARDS 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,77,22
2025,FEBRUARY,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,75,27
2025,FEBRUARY,ADAMS,TOWN OF PRESTON WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,100,20
2025,FEBRUARY,ADAMS,TOWN OF QUINCY WARDS 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,68,17
2025,FEBRUARY,ADAMS,TOWN OF RICHFIELD WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,11,2
2025,FEBRUARY,ADAMS,TOWN OF ROME WARDS 1-4,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,675,247
2025,FEBRUARY,ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,93,28
2025,FEBRUARY,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,93,23
2025,FEBRUARY,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,40,11
2025,FEBRUARY,ADAMS,CITY OF ADAMS WARDS 1-5,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,81,26
2025,FEBRUARY,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,4,3
2025,FEBRUARY,ASHLAND,TOWN OF AGENDA WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,53,13
2025,FEBRUARY,ASHLAND,TOWN OF ASHLAND WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,51,9
2025,FEBRUARY,ASHLAND,TOWN OF CHIPPEWA WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,46,13
2025,FEBRUARY,ASHLAND,TOWN OF GINGLES WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,86,24
2025,FEBRUARY,ASHLAND,TOWN OF GORDON WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,25,8
2025,FEBRUARY,ASHLAND,TOWN OF JACOBS WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,25,8
2025,FEBRUARY,ASHLAND,TOWN OF LA POINTE WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,127,63
2025,FEBRUARY,ASHLAND,TOWN OF MARENGO WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,66,11
2025,FEBRUARY,ASHLAND,TOWN OF MORSE WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,48,10
2025,FEBRUARY,ASHLAND,TOWN OF PEEKSVILLE WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,5,0
2025,FEBRUARY,ASHLAND,TOWN OF SANBORN WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,48,13
2025,FEBRUARY,ASHLAND,TOWN OF SHANAGOLDEN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,9,1
2025,FEBRUARY,ASHLAND,TOWN OF WHITE RIVER WARDS 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,JEFF  WRIGHT,129,13
