year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2017,FEBRUARY,ADAMS,TOWN OF ADAMS WARD 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,64,40
2017,FEBRUARY,ADAMS,TOWN OF BIG FLATS WARD 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,35,23
2017,FEBRUARY,ADAMS,TOWN OF COLBURN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,11,5
2017,FEBRUARY,ADAMS,TOWN OF DELL PRAIRIE WARD 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,62,37
2017,FEBRUARY,ADAMS,TOWN OF EASTON WARD 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,45,29
2017,FEBRUARY,ADAMS,TOWN OF JACKSON WARD 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,70,37
2017,FEBRUARY,ADAMS,TOWN OF LEOLA WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,19,4
2017,FEBRUARY,ADAMS,TOWN OF LINCOLN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,35,18
2017,FEBRUARY,ADAMS,TOWN OF MONROE WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,16,5
2017,FEBRUARY,ADAMS,TOWN OF NEW CHESTER WARD 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,31,23
2017,FEBRUARY,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,53,36
2017,FEBRUARY,ADAMS,TOWN OF PRESTON WARD 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,71,50
2017,FEBRUARY,ADAMS,TOWN OF QUINCY WARD 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,42,28
2017,FEBRUARY,ADAMS,TOWN OF RICHFIELD WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,5,3
2017,FEBRUARY,ADAMS,TOWN OF ROME WARD 1-5,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,114,74
2017,FEBRUARY,ADAMS,TOWN OF SPRINGVILLE WARD 1-2,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,47,19
2017,FEBRUARY,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-3,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,55,32
2017,FEBRUARY,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,27,18
2017,FEBRUARY,ADAMS,CITY OF ADAMS WARDS 1-4,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,146,104
2017,FEBRUARY,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,0,0
2017,FEBRUARY,ASHLAND,TOWN OF AGENDA WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,28,16
2017,FEBRUARY,ASHLAND,TOWN OF ASHLAND WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,43,35
2017,FEBRUARY,ASHLAND,TOWN OF CHIPPEWA WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,19,10
2017,FEBRUARY,ASHLAND,TOWN OF GINGLES WARD 1,SPRING PRIMARY,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,TONY EVERS,43,36
