county,municipality,ctv,reporting_unit,year,office,district,wsa_dist,wss_dist,con_dist,party,candidate,votes
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,2
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,293
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,220
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,2
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,1
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,4
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,51
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,95
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,2
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,86
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,73
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,2
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,1
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,149
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,107
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,0
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,0
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Monroe,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,268
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,132
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,2
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,0
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,New Chester,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,2
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Democratic,Barack Obama / Joe Biden,238
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Republican,John McCain / Sarah Palin,142
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Independent,Brian Moore / Steward A Alexander,0
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Independent 3,Ralph Nader / Matt Gonzalez,0
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,1
Adams,New Haven,Town,Ward 1,2008,president,NA,42,14,6,Scattering,Scattering,2
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,421
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,233
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
