year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2020,AUGUST,KENOSHA,TOWN OF BRIGHTON WARDS 1-4,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,62,23
2020,AUGUST,KENOSHA,TOWN OF PARIS WARDS 1-2,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,56,28
2020,AUGUST,KENOSHA,TOWN OF RANDALL WARDS 1-7,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,117,47
2020,AUGUST,KENOSHA,TOWN OF SOMERS WARD 1,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,5,3
2020,AUGUST,KENOSHA,TOWN OF SOMERS WARD 2,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,61,33
2020,AUGUST,KENOSHA,TOWN OF WHEATLAND WARDS 1-6,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,178,77
2020,AUGUST,KENOSHA,"VILLAGE OF BRISTOL WARDS 1-3,8",PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,125,61
2020,AUGUST,KENOSHA,VILLAGE OF BRISTOL WARDS 4-7,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,123,58
2020,AUGUST,KENOSHA,VILLAGE OF GENOA CITY WARD 5,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,0,0
2020,AUGUST,KENOSHA,VILLAGE OF PADDOCK LAKE WARDS 1-6,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,136,76
2020,AUGUST,KENOSHA,VILLAGE OF PLEASANT PRAIRIE WARDS 1-3,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,382,193
2020,AUGUST,KENOSHA,VILLAGE OF PLEASANT PRAIRIE WARDS 4-5,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,161,65
2020,AUGUST,KENOSHA,"VILLAGE OF PLEASANT PRAIRIE WARDS 6-7,12",PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,362,144
2020,AUGUST,KENOSHA,VILLAGE OF PLEASANT PRAIRIE WARDS 8-11,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,320,146
2020,AUGUST,KENOSHA,VILLAGE OF PLEASANT PRAIRIE WARDS 13-14,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,238,111
2020,AUGUST,KENOSHA,"VILLAGE OF SALEM LAKES WARDS 1-5,10",PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,322,138
2020,AUGUST,KENOSHA,VILLAGE OF SALEM LAKES WARDS 6-9,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,239,120
2020,AUGUST,KENOSHA,VILLAGE OF SALEM LAKES WARDS 11-13,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,88,36
2020,AUGUST,KENOSHA,VILLAGE OF SOMERS WARDS 1-4,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,216,110
2020,AUGUST,KENOSHA,"VILLAGE OF SOMERS WARDS 5-6,9-10",PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,194,87
2020,AUGUST,KENOSHA,VILLAGE OF SOMERS WARDS 7-8,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,99,51
2020,AUGUST,KENOSHA,VILLAGE OF SOMERS WARD 11,PARTISAN PRIMARY,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEMOCRATIC,JOSH PADE,43,21
