county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,655
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,630
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,26
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,173
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Independent,Alan D Eisenberg,2
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Independent 2,Ty A Bollerud,2
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Independent 3,Mike Mangan,2
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Kronenwetter,Town,Wards 4 - 8,2002,governor,NA,Scattering,Scattering,3
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,401
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,389
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,15
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,129
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Independent,Alan D Eisenberg,2
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Independent 4,Aneb Jab Rasta,1
Marathon,Maine,Town,Wards 1 - 4,2002,governor,NA,Scattering,Scattering,0
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,157
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,188
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,13
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,69
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,1
Marathon,Marathon,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,263
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,297
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,19
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,109
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Independent 2,Ty A Bollerud,3
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Independent 4,Aneb Jab Rasta,2
Marathon,McMillan,Town,Wards 1 - 3,2002,governor,NA,Scattering,Scattering,0
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,302
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,319
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,16
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,117
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Independent 2,Ty A Bollerud,2
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Independent 4,Aneb Jab Rasta,1
Marathon,Mosinee,Town,Wards 1 - 3,2002,governor,NA,Scattering,Scattering,1
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,123
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,126
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,5
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,52
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Norrie,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Plover,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,84
Marathon,Plover,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,74
Marathon,Plover,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Marathon,Plover,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,27
Marathon,Plover,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Plover,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Plover,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Plover,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Plover,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,202
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,127
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,83
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Reid,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,125
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,165
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,9
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,67
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Rib Falls,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,1269
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,1468
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,65
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,318
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Independent,Alan D Eisenberg,6
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Independent 2,Ty A Bollerud,1
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Independent 4,Aneb Jab Rasta,2
Marathon,Rib Mountain,Town,Wards 1 - 10,2002,governor,NA,Scattering,Scattering,2
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,151
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,95
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,8
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,45
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Rietbrock,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,218
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,200
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,16
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,65
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,1
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Ringle,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,1
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,136
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,140
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,13
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,90
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,1
Marathon,Spencer,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,176
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,256
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,22
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,86
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,2
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,1
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Stettin,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,1
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,166
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,204
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,10
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,60
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Independent,Alan D Eisenberg,3
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Stettin,Town,Wards 3 & 4,2002,governor,NA,Scattering,Scattering,0
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,261
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,257
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,19
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,114
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,2
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Texas,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,292
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,407
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,23
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,107
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Independent 2,Ty A Bollerud,3
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Independent 4,Aneb Jab Rasta,3
Marathon,Wausau,Town,Wards 1 - 3,2002,governor,NA,Scattering,Scattering,0
Marathon,Weston,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,79
Marathon,Weston,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,109
Marathon,Weston,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,4
Marathon,Weston,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,13
Marathon,Weston,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Weston,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Weston,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Weston,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Weston,Town,Ward 1,2002,governor,NA,Scattering,Scattering,1
Marathon,Wien,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,82
Marathon,Wien,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,94
Marathon,Wien,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,10
Marathon,Wien,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,66
Marathon,Wien,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,2
Marathon,Wien,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,1
Marathon,Wien,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Wien,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Wien,Town,Ward 1,2002,governor,NA,Scattering,Scattering,1
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,176
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,120
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,12
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,73
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,2
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Athens,Village,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,5
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,3
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Birnamwood,Village,Ward 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,27
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,11
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,0
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,6
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Brokaw,Village,Ward 1,2002,governor,NA,Scattering,Scattering,1
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,2
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Dorchester,Village,Ward 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,272
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,174
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,9
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,78
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,1
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Edgar,Village,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,28
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,22
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,4
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,11
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Elderon,Village,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,24
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,22
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,2
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,13
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Fenwood,Village,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,67
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,59
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,2
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,18
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,1
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Hatley,Village,Ward 1,2002,governor,NA,Scattering,Scattering,0
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,252
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,232
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,17
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,97
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Independent 3,Mike Mangan,2
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Marathon City,Village,Wards 1 - 3,2002,governor,NA,Scattering,Scattering,0
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,278
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,236
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,14
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,77
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Rothschild,Village,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,2
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,297
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,288
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,13
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,58
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Independent,Alan D Eisenberg,1
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Independent 2,Ty A Bollerud,2
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Independent 3,Mike Mangan,1
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Marathon,Rothschild,Village,Wards 3 & 4,2002,governor,NA,Scattering,Scattering,0
Marathon,Rothschild,Village,Wards 5 & 6,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,272
Marathon,Rothschild,Village,Wards 5 & 6,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,265
Marathon,Rothschild,Village,Wards 5 & 6,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,16
Marathon,Rothschild,Village,Wards 5 & 6,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,69
Marathon,Rothschild,Village,Wards 5 & 6,2002,governor,NA,Independent,Alan D Eisenberg,0
