county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Adams,Leola,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,3
Adams,Leola,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,4
Adams,Leola,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,1
Adams,Leola,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,1
Adams,Leola,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Leola,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Leola,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,49
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,35
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,4
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,30
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Lincoln,Town,Ward 1,2002,governor,NA,Scattering,Scattering,2
Adams,Monroe,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,86
Adams,Monroe,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,58
Adams,Monroe,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,4
Adams,Monroe,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,50
Adams,Monroe,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Monroe,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Monroe,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Monroe,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Monroe,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,121
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,56
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,10
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,45
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,1
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,New Chester,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Adams,New Haven,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,129
Adams,New Haven,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,56
Adams,New Haven,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,9
Adams,New Haven,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,76
Adams,New Haven,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,New Haven,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,New Haven,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,New Haven,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,New Haven,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,270
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,148
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,96
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Independent 2,Ty A Bollerud,2
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Preston,Town,Wards 1 - 3,2002,governor,NA,Scattering,Scattering,0
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,246
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,128
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,87
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,1
Adams,Quincy,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Adams,Richfield,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,20
Adams,Richfield,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,21
Adams,Richfield,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,1
Adams,Richfield,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,14
Adams,Richfield,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Richfield,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Richfield,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Richfield,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Richfield,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,612
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,532
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,18
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,175
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Independent,Alan D Eisenberg,3
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Independent 2,Ty A Bollerud,2
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Independent 3,Mike Mangan,1
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Rome,Town,Wards 1 - 5,2002,governor,NA,Scattering,Scattering,0
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,142
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,107
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,3
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,102
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,1
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,2
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Springville,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,199
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,147
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,8
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,108
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Adams,Friendship,Village,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,111
