county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
CALUMET,55015,5501564675,POTTER,V,2008,SUPREME COURT,SCATTERING,SCATTERING,0,40
CALUMET,55015,5501564675,POTTER,V,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,11,38
CALUMET,55015,5501564675,POTTER,V,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,27,38
CALUMET,55015,5501564675,POTTER,V,2009,SUPREME COURT,SCATTERING,SCATTERING,0,38
CALUMET,55015,5501564675,POTTER,V,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",48,63
CALUMET,55015,5501564675,POTTER,V,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,15,63
CALUMET,55015,5501564675,POTTER,V,2011,SUPREME COURT,SCATTERING,SCATTERING,0,63
CALUMET,55015,5501564675,POTTER,V,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,26,43
CALUMET,55015,5501564675,POTTER,V,2013,SUPREME COURT,LIBERAL,ED FALLONE,17,43
CALUMET,55015,5501564675,POTTER,V,2013,SUPREME COURT,SCATTERING,SCATTERING,0,43
CALUMET,55015,5501564675,POTTER,V,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,34,58
CALUMET,55015,5501564675,POTTER,V,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,24,58
CALUMET,55015,5501564675,POTTER,V,2015,SUPREME COURT,SCATTERING,SCATTERING,0,58
CALUMET,55015,5501564675,POTTER,V,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,76,102
CALUMET,55015,5501564675,POTTER,V,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,26,102
CALUMET,55015,5501564675,POTTER,V,2016,SUPREME COURT,SCATTERING,SCATTERING,0,102
CALUMET,55015,5501564675,POTTER,V,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,81,81
CALUMET,55015,5501564675,POTTER,V,2017,SUPREME COURT,SCATTERING,SCATTERING,0,81
CALUMET,55015,5501564675,POTTER,V,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,22,34
CALUMET,55015,5501564675,POTTER,V,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,12,34
CALUMET,55015,5501564675,POTTER,V,2018,SUPREME COURT,SCATTERING,SCATTERING,0,34
CALUMET,55015,5501564675,POTTER,V,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,34,45
CALUMET,55015,5501564675,POTTER,V,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,11,45
CALUMET,55015,5501564675,POTTER,V,2019,SUPREME COURT,SCATTERING,SCATTERING,0,45
CALUMET,55015,5501564675,POTTER,V,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,48,66
CALUMET,55015,5501564675,POTTER,V,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,18,66
CALUMET,55015,5501564675,POTTER,V,2020,SUPREME COURT,SCATTERING,SCATTERING,0,66
CALUMET,55015,5501564675,POTTER,V,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,54,73
CALUMET,55015,5501564675,POTTER,V,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,19,73
CALUMET,55015,5501564675,POTTER,V,2023,SUPREME COURT,SCATTERING,SCATTERING,0,73
CALUMET,55015,5501564675,POTTER,V,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,86,107
CALUMET,55015,5501564675,POTTER,V,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,21,107
CALUMET,55015,5501564675,POTTER,V,2025,SUPREME COURT,SCATTERING,SCATTERING,0,107
CALUMET,55015,5501564675,POTTER,V,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,38,49
CALUMET,55015,5501564675,POTTER,V,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,11,49
CALUMET,55015,5501564675,POTTER,V,2026,SUPREME COURT,SCATTERING,SCATTERING,0,49
CALUMET,55015,5501566275,RANTOUL,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,50,77
CALUMET,55015,5501566275,RANTOUL,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,27,77
CALUMET,55015,5501566275,RANTOUL,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,77
CALUMET,55015,5501566275,RANTOUL,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",82,82
CALUMET,55015,5501566275,RANTOUL,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,82
CALUMET,55015,5501566275,RANTOUL,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,69,116
CALUMET,55015,5501566275,RANTOUL,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,47,116
CALUMET,55015,5501566275,RANTOUL,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,116
CALUMET,55015,5501566275,RANTOUL,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,109,109
CALUMET,55015,5501566275,RANTOUL,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,109
CALUMET,55015,5501566275,RANTOUL,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,60,60
CALUMET,55015,5501566275,RANTOUL,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,60
CALUMET,55015,5501566275,RANTOUL,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,106,161
CALUMET,55015,5501566275,RANTOUL,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,55,161
CALUMET,55015,5501566275,RANTOUL,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,161
CALUMET,55015,5501566275,RANTOUL,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,110,154
CALUMET,55015,5501566275,RANTOUL,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,44,154
CALUMET,55015,5501566275,RANTOUL,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,154
CALUMET,55015,5501566275,RANTOUL,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,40,95
CALUMET,55015,5501566275,RANTOUL,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,55,95
CALUMET,55015,5501566275,RANTOUL,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,95
CALUMET,55015,5501566275,RANTOUL,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",136,187
CALUMET,55015,5501566275,RANTOUL,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,51,187
CALUMET,55015,5501566275,RANTOUL,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,187
CALUMET,55015,5501566275,RANTOUL,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,100,151
CALUMET,55015,5501566275,RANTOUL,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,51,151
CALUMET,55015,5501566275,RANTOUL,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,151
CALUMET,55015,5501566275,RANTOUL,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,71,133
CALUMET,55015,5501566275,RANTOUL,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,62,133
CALUMET,55015,5501566275,RANTOUL,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,133
CALUMET,55015,5501566275,RANTOUL,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,197,268
CALUMET,55015,5501566275,RANTOUL,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,71,268
CALUMET,55015,5501566275,RANTOUL,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,268
CALUMET,55015,5501566275,RANTOUL,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,63,63
CALUMET,55015,5501566275,RANTOUL,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,63
CALUMET,55015,5501566275,RANTOUL,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,74,102
CALUMET,55015,5501566275,RANTOUL,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,28,102
CALUMET,55015,5501566275,RANTOUL,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,102
CALUMET,55015,5501566275,RANTOUL,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,110,141
CALUMET,55015,5501566275,RANTOUL,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,31,141
CALUMET,55015,5501566275,RANTOUL,T,2019,SUPREME COURT,SCATTERING,SCATTERING,0,141
CALUMET,55015,5501566275,RANTOUL,T,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,139,194
CALUMET,55015,5501566275,RANTOUL,T,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,55,194
CALUMET,55015,5501566275,RANTOUL,T,2020,SUPREME COURT,SCATTERING,SCATTERING,0,194
CALUMET,55015,5501566275,RANTOUL,T,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,204,261
CALUMET,55015,5501566275,RANTOUL,T,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,55,261
CALUMET,55015,5501566275,RANTOUL,T,2023,SUPREME COURT,SCATTERING,SCATTERING,2,261
CALUMET,55015,5501566275,RANTOUL,T,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,271,344
CALUMET,55015,5501566275,RANTOUL,T,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,73,344
CALUMET,55015,5501566275,RANTOUL,T,2025,SUPREME COURT,SCATTERING,SCATTERING,0,344
CALUMET,55015,5501566275,RANTOUL,T,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,169,237
CALUMET,55015,5501566275,RANTOUL,T,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,67,237
CALUMET,55015,5501566275,RANTOUL,T,2026,SUPREME COURT,SCATTERING,SCATTERING,1,237
CALUMET,55015,5501573525,SHERWOOD,V,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,237,349
CALUMET,55015,5501573525,SHERWOOD,V,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,112,349
CALUMET,55015,5501573525,SHERWOOD,V,2000,SUPREME COURT,SCATTERING,SCATTERING,0,349
CALUMET,55015,5501573525,SHERWOOD,V,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",233,233
CALUMET,55015,5501573525,SHERWOOD,V,2001,SUPREME COURT,SCATTERING,SCATTERING,0,233
CALUMET,55015,5501573525,SHERWOOD,V,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,175,312
CALUMET,55015,5501573525,SHERWOOD,V,2003,SUPREME COURT,LIBERAL,ED BRUNNER,137,312
CALUMET,55015,5501573525,SHERWOOD,V,2003,SUPREME COURT,SCATTERING,SCATTERING,0,312
CALUMET,55015,5501573525,SHERWOOD,V,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,234,234
CALUMET,55015,5501573525,SHERWOOD,V,2005,SUPREME COURT,SCATTERING,SCATTERING,0,234
CALUMET,55015,5501573525,SHERWOOD,V,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,309,309
CALUMET,55015,5501573525,SHERWOOD,V,2006,SUPREME COURT,SCATTERING,SCATTERING,0,309
CALUMET,55015,5501573525,SHERWOOD,V,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,350,509
CALUMET,55015,5501573525,SHERWOOD,V,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,158,509
CALUMET,55015,5501573525,SHERWOOD,V,2007,SUPREME COURT,SCATTERING,SCATTERING,1,509
CALUMET,55015,5501573525,SHERWOOD,V,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,205,348
CALUMET,55015,5501573525,SHERWOOD,V,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,143,348
CALUMET,55015,5501573525,SHERWOOD,V,2008,SUPREME COURT,SCATTERING,SCATTERING,0,348
CALUMET,55015,5501573525,SHERWOOD,V,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,164,402
CALUMET,55015,5501573525,SHERWOOD,V,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,238,402
CALUMET,55015,5501573525,SHERWOOD,V,2009,SUPREME COURT,SCATTERING,SCATTERING,0,402
CALUMET,55015,5501573525,SHERWOOD,V,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",581,908
CALUMET,55015,5501573525,SHERWOOD,V,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,327,908
CALUMET,55015,5501573525,SHERWOOD,V,2011,SUPREME COURT,SCATTERING,SCATTERING,0,908
CALUMET,55015,5501573525,SHERWOOD,V,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,370,583
CALUMET,55015,5501573525,SHERWOOD,V,2013,SUPREME COURT,LIBERAL,ED FALLONE,213,583
CALUMET,55015,5501573525,SHERWOOD,V,2013,SUPREME COURT,SCATTERING,SCATTERING,0,583
CALUMET,55015,5501573525,SHERWOOD,V,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,263,522
CALUMET,55015,5501573525,SHERWOOD,V,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,259,522
CALUMET,55015,5501573525,SHERWOOD,V,2015,SUPREME COURT,SCATTERING,SCATTERING,0,522
CALUMET,55015,5501573525,SHERWOOD,V,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,772,1204
CALUMET,55015,5501573525,SHERWOOD,V,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,432,1204
CALUMET,55015,5501573525,SHERWOOD,V,2016,SUPREME COURT,SCATTERING,SCATTERING,0,1204
CALUMET,55015,5501573525,SHERWOOD,V,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,227,227
CALUMET,55015,5501573525,SHERWOOD,V,2017,SUPREME COURT,SCATTERING,SCATTERING,0,227
CALUMET,55015,5501573525,SHERWOOD,V,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,289,579
CALUMET,55015,5501573525,SHERWOOD,V,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,290,579
CALUMET,55015,5501573525,SHERWOOD,V,2018,SUPREME COURT,SCATTERING,SCATTERING,0,579
CALUMET,55015,5501573525,SHERWOOD,V,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,485,833
CALUMET,55015,5501573525,SHERWOOD,V,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,348,833
CALUMET,55015,5501573525,SHERWOOD,V,2019,SUPREME COURT,SCATTERING,SCATTERING,0,833
CALUMET,55015,5501573525,SHERWOOD,V,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,521,983
CALUMET,55015,5501573525,SHERWOOD,V,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,462,983
CALUMET,55015,5501573525,SHERWOOD,V,2020,SUPREME COURT,SCATTERING,SCATTERING,0,983
CALUMET,55015,5501573525,SHERWOOD,V,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,694,1262
CALUMET,55015,5501573525,SHERWOOD,V,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,567,1262
CALUMET,55015,5501573525,SHERWOOD,V,2023,SUPREME COURT,SCATTERING,SCATTERING,1,1262
CALUMET,55015,5501573525,SHERWOOD,V,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,905,1664
CALUMET,55015,5501573525,SHERWOOD,V,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,758,1664
CALUMET,55015,5501573525,SHERWOOD,V,2025,SUPREME COURT,SCATTERING,SCATTERING,1,1664
CALUMET,55015,5501573525,SHERWOOD,V,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,463,1013
CALUMET,55015,5501573525,SHERWOOD,V,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,550,1013
CALUMET,55015,5501573525,SHERWOOD,V,2026,SUPREME COURT,SCATTERING,SCATTERING,0,1013
CALUMET,55015,5501577400,STOCKBRIDGE,V,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,89,152
CALUMET,55015,5501577400,STOCKBRIDGE,V,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,63,152
CALUMET,55015,5501577400,STOCKBRIDGE,V,2000,SUPREME COURT,SCATTERING,SCATTERING,0,152
CALUMET,55015,5501577400,STOCKBRIDGE,V,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",160,160
CALUMET,55015,5501577400,STOCKBRIDGE,V,2001,SUPREME COURT,SCATTERING,SCATTERING,0,160
CALUMET,55015,5501577400,STOCKBRIDGE,V,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,87,183
CALUMET,55015,5501577400,STOCKBRIDGE,V,2003,SUPREME COURT,LIBERAL,ED BRUNNER,96,183
CALUMET,55015,5501577400,STOCKBRIDGE,V,2003,SUPREME COURT,SCATTERING,SCATTERING,0,183
CALUMET,55015,5501577400,STOCKBRIDGE,V,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,99,99
CALUMET,55015,5501577400,STOCKBRIDGE,V,2005,SUPREME COURT,SCATTERING,SCATTERING,0,99
CALUMET,55015,5501577400,STOCKBRIDGE,V,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,48,48
CALUMET,55015,5501577400,STOCKBRIDGE,V,2006,SUPREME COURT,SCATTERING,SCATTERING,0,48
CALUMET,55015,5501577400,STOCKBRIDGE,V,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,60,98
CALUMET,55015,5501577400,STOCKBRIDGE,V,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,38,98
CALUMET,55015,5501577400,STOCKBRIDGE,V,2007,SUPREME COURT,SCATTERING,SCATTERING,0,98
CALUMET,55015,5501577400,STOCKBRIDGE,V,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,113,217
CALUMET,55015,5501577400,STOCKBRIDGE,V,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,104,217
CALUMET,55015,5501577400,STOCKBRIDGE,V,2008,SUPREME COURT,SCATTERING,SCATTERING,0,217
CALUMET,55015,5501577400,STOCKBRIDGE,V,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,27,84
CALUMET,55015,5501577400,STOCKBRIDGE,V,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,57,84
CALUMET,55015,5501577400,STOCKBRIDGE,V,2009,SUPREME COURT,SCATTERING,SCATTERING,0,84
CALUMET,55015,5501577400,STOCKBRIDGE,V,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",140,224
CALUMET,55015,5501577400,STOCKBRIDGE,V,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,84,224
CALUMET,55015,5501577400,STOCKBRIDGE,V,2011,SUPREME COURT,SCATTERING,SCATTERING,0,224
CALUMET,55015,5501577400,STOCKBRIDGE,V,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,66,101
CALUMET,55015,5501577400,STOCKBRIDGE,V,2013,SUPREME COURT,LIBERAL,ED FALLONE,35,101
CALUMET,55015,5501577400,STOCKBRIDGE,V,2013,SUPREME COURT,SCATTERING,SCATTERING,0,101
CALUMET,55015,5501577400,STOCKBRIDGE,V,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,38,90
CALUMET,55015,5501577400,STOCKBRIDGE,V,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,52,90
CALUMET,55015,5501577400,STOCKBRIDGE,V,2015,SUPREME COURT,SCATTERING,SCATTERING,0,90
CALUMET,55015,5501577400,STOCKBRIDGE,V,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,167,251
CALUMET,55015,5501577400,STOCKBRIDGE,V,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,84,251
CALUMET,55015,5501577400,STOCKBRIDGE,V,2016,SUPREME COURT,SCATTERING,SCATTERING,0,251
CALUMET,55015,5501577400,STOCKBRIDGE,V,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,63,63
CALUMET,55015,5501577400,STOCKBRIDGE,V,2017,SUPREME COURT,SCATTERING,SCATTERING,0,63
CALUMET,55015,5501577400,STOCKBRIDGE,V,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,76,171
CALUMET,55015,5501577400,STOCKBRIDGE,V,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,95,171
CALUMET,55015,5501577400,STOCKBRIDGE,V,2018,SUPREME COURT,SCATTERING,SCATTERING,0,171
CALUMET,55015,5501577400,STOCKBRIDGE,V,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,130,208
CALUMET,55015,5501577400,STOCKBRIDGE,V,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,78,208
CALUMET,55015,5501577400,STOCKBRIDGE,V,2019,SUPREME COURT,SCATTERING,SCATTERING,0,208
CALUMET,55015,5501577400,STOCKBRIDGE,V,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,95,175
CALUMET,55015,5501577400,STOCKBRIDGE,V,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,80,175
CALUMET,55015,5501577400,STOCKBRIDGE,V,2020,SUPREME COURT,SCATTERING,SCATTERING,0,175
CALUMET,55015,5501577400,STOCKBRIDGE,V,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,189,286
CALUMET,55015,5501577400,STOCKBRIDGE,V,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,96,286
CALUMET,55015,5501577400,STOCKBRIDGE,V,2023,SUPREME COURT,SCATTERING,SCATTERING,1,286
CALUMET,55015,5501577400,STOCKBRIDGE,V,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,224,337
CALUMET,55015,5501577400,STOCKBRIDGE,V,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,113,337
CALUMET,55015,5501577400,STOCKBRIDGE,V,2025,SUPREME COURT,SCATTERING,SCATTERING,0,337
CALUMET,55015,5501577400,STOCKBRIDGE,V,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,113,192
CALUMET,55015,5501577400,STOCKBRIDGE,V,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,79,192
CALUMET,55015,5501577400,STOCKBRIDGE,V,2026,SUPREME COURT,SCATTERING,SCATTERING,0,192
CALUMET,55015,5501577425,STOCKBRIDGE,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,168,239
CALUMET,55015,5501577425,STOCKBRIDGE,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,71,239
CALUMET,55015,5501577425,STOCKBRIDGE,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,239
CALUMET,55015,5501577425,STOCKBRIDGE,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",220,220
CALUMET,55015,5501577425,STOCKBRIDGE,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,220
CALUMET,55015,5501577425,STOCKBRIDGE,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,117,226
CALUMET,55015,5501577425,STOCKBRIDGE,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,109,226
CALUMET,55015,5501577425,STOCKBRIDGE,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,226
CALUMET,55015,5501577425,STOCKBRIDGE,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,113,113
CALUMET,55015,5501577425,STOCKBRIDGE,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,113
CALUMET,55015,5501577425,STOCKBRIDGE,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,47,47
CALUMET,55015,5501577425,STOCKBRIDGE,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,47
CALUMET,55015,5501577425,STOCKBRIDGE,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,313,446
CALUMET,55015,5501577425,STOCKBRIDGE,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,133,446
CALUMET,55015,5501577425,STOCKBRIDGE,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,446
CALUMET,55015,5501577425,STOCKBRIDGE,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,179,341
CALUMET,55015,5501577425,STOCKBRIDGE,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,162,341
CALUMET,55015,5501577425,STOCKBRIDGE,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,341
CALUMET,55015,5501577425,STOCKBRIDGE,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,138,370
CALUMET,55015,5501577425,STOCKBRIDGE,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,232,370
CALUMET,55015,5501577425,STOCKBRIDGE,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,370
CALUMET,55015,5501577425,STOCKBRIDGE,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",472,710
CALUMET,55015,5501577425,STOCKBRIDGE,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,237,710
CALUMET,55015,5501577425,STOCKBRIDGE,T,2011,SUPREME COURT,SCATTERING,SCATTERING,1,710
CALUMET,55015,5501577425,STOCKBRIDGE,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,201,299
CALUMET,55015,5501577425,STOCKBRIDGE,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,98,299
CALUMET,55015,5501577425,STOCKBRIDGE,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,299
CALUMET,55015,5501577425,STOCKBRIDGE,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,101,188
CALUMET,55015,5501577425,STOCKBRIDGE,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,87,188
CALUMET,55015,5501577425,STOCKBRIDGE,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,188
CALUMET,55015,5501577425,STOCKBRIDGE,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,430,612
CALUMET,55015,5501577425,STOCKBRIDGE,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,182,612
CALUMET,55015,5501577425,STOCKBRIDGE,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,612
CALUMET,55015,5501577425,STOCKBRIDGE,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,165,165
CALUMET,55015,5501577425,STOCKBRIDGE,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,165
CALUMET,55015,5501577425,STOCKBRIDGE,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,163,268
CALUMET,55015,5501577425,STOCKBRIDGE,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,105,268
CALUMET,55015,5501577425,STOCKBRIDGE,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,268
CALUMET,55015,5501577425,STOCKBRIDGE,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,355,488
CALUMET,55015,5501577425,STOCKBRIDGE,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,133,488
