county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
ADAMS,55001,5500100275,ADAMS,C,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,249,534
ADAMS,55001,5500100275,ADAMS,C,2025,SUPREME COURT,SCATTERING,SCATTERING,2,534
ADAMS,55001,5500100275,ADAMS,C,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,131,292
ADAMS,55001,5500100275,ADAMS,C,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,161,292
ADAMS,55001,5500100275,ADAMS,C,2026,SUPREME COURT,SCATTERING,SCATTERING,0,292
ADAMS,55001,5500100300,ADAMS,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,109,175
ADAMS,55001,5500100300,ADAMS,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,66,175
ADAMS,55001,5500100300,ADAMS,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,175
ADAMS,55001,5500100300,ADAMS,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",54,54
ADAMS,55001,5500100300,ADAMS,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,54
ADAMS,55001,5500100300,ADAMS,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,172,283
ADAMS,55001,5500100300,ADAMS,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,111,283
ADAMS,55001,5500100300,ADAMS,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,283
ADAMS,55001,5500100300,ADAMS,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,70,70
ADAMS,55001,5500100300,ADAMS,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,70
ADAMS,55001,5500100300,ADAMS,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,67,67
ADAMS,55001,5500100300,ADAMS,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,67
ADAMS,55001,5500100300,ADAMS,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,61,131
ADAMS,55001,5500100300,ADAMS,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,69,131
ADAMS,55001,5500100300,ADAMS,T,2007,SUPREME COURT,SCATTERING,SCATTERING,1,131
ADAMS,55001,5500100300,ADAMS,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,61,119
ADAMS,55001,5500100300,ADAMS,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,58,119
ADAMS,55001,5500100300,ADAMS,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,119
ADAMS,55001,5500100300,ADAMS,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,35,114
