year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2008,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,119,61
2008,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,119,58
2008,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,119,0
2008,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,113,58
2008,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,113,55
2008,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,113,0
2008,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,27,18
2008,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,27,9
2008,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,27,0
2008,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,134,61
2008,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,134,73
2008,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,134,0
2008,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,128,63
2008,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,128,65
2008,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,128,0
2008,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,113,71
2008,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,113,42
2008,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,113,0
2008,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,66,45
2008,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,66,21
2008,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,66,0
2008,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,36,24
2008,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,36,12
2008,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,36,0
2008,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,50,30
2008,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,50,20
2008,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,50,0
2008,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,86,37
2008,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,86,49
2008,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,86,0
2008,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,79,39
2008,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,79,40
2008,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,79,0
2008,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,149,77
2008,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,149,72
2008,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,149,0
2008,APRIL,ADAMS,QUINCY TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,123,68
2008,APRIL,ADAMS,QUINCY TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,123,55
2008,APRIL,ADAMS,QUINCY TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,123,0
2008,APRIL,ADAMS,RICHFIELD TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,20,10
2008,APRIL,ADAMS,RICHFIELD TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,20,10
2008,APRIL,ADAMS,RICHFIELD TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,20,0
2008,APRIL,ADAMS,ROME TOWN WARDS 1 - 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,815,431
2008,APRIL,ADAMS,ROME TOWN WARDS 1 - 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,815,384
2008,APRIL,ADAMS,ROME TOWN WARDS 1 - 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,815,0
2008,APRIL,ADAMS,SPRINGVILLE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,95,58
2008,APRIL,ADAMS,SPRINGVILLE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,95,37
2008,APRIL,ADAMS,SPRINGVILLE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,95,0
2008,APRIL,ADAMS,STRONGS PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,117,69
2008,APRIL,ADAMS,STRONGS PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,117,48
2008,APRIL,ADAMS,STRONGS PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,117,0
2008,APRIL,ADAMS,FRIENDSHIP VILLAGE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,88,39
2008,APRIL,ADAMS,FRIENDSHIP VILLAGE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,88,49
2008,APRIL,ADAMS,FRIENDSHIP VILLAGE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,88,0
2008,APRIL,ADAMS,ADAMS CITY WARDS 1 - 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,165,68
2008,APRIL,ADAMS,ADAMS CITY WARDS 1 - 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,165,97
2008,APRIL,ADAMS,ADAMS CITY WARDS 1 - 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,165,0
2008,APRIL,ADAMS,WISCONSIN DELLS CITY WARD 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,3,2
2008,APRIL,ADAMS,WISCONSIN DELLS CITY WARD 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,3,1
2008,APRIL,ADAMS,WISCONSIN DELLS CITY WARD 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,3,0
2008,APRIL,ASHLAND,AGENDA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MIKE GABLEMAN,76,58
2008,APRIL,ASHLAND,AGENDA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LOUIS BUTLER,76,18
2008,APRIL,ASHLAND,AGENDA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,76,0
