year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2024,APRIL,ADAMS,TOWN OF ADAMS WARDS 1-3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,88,86
2024,APRIL,ADAMS,TOWN OF BIG FLATS WARDS 1-2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,63,55
2024,APRIL,ADAMS,TOWN OF COLBURN WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,13,13
2024,APRIL,ADAMS,"TOWN OF DELL PRAIRIE WARDS 1,2",PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,96,91
2024,APRIL,ADAMS,TOWN OF EASTON WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,77,73
2024,APRIL,ADAMS,TOWN OF JACKSON WARDS 1-2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,84,71
2024,APRIL,ADAMS,TOWN OF LEOLA WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,11,9
2024,APRIL,ADAMS,TOWN OF LINCOLN WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,30,27
2024,APRIL,ADAMS,TOWN OF MONROE WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,34,32
2024,APRIL,ADAMS,TOWN OF NEW CHESTER WARDS 1-3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,66,57
2024,APRIL,ADAMS,TOWN OF NEW HAVEN WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,59,56
2024,APRIL,ADAMS,TOWN OF PRESTON WARDS 1-2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,110,103
2024,APRIL,ADAMS,"TOWN OF QUINCY WARDS 1,2",PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,108,100
2024,APRIL,ADAMS,TOWN OF RICHFIELD WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,8,8
2024,APRIL,ADAMS,TOWN OF ROME WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,108,102
2024,APRIL,ADAMS,TOWN OF ROME WARD 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,105,102
2024,APRIL,ADAMS,TOWN OF ROME WARDS 3-4,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,117,110
2024,APRIL,ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,76,69
2024,APRIL,ADAMS,"TOWN OF STRONGS PRAIRIE WARDS 1,2",PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,102,94
2024,APRIL,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,48,42
2024,APRIL,ADAMS,CITY OF ADAMS WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,17,14
2024,APRIL,ADAMS,CITY OF ADAMS WARD 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,39,38
2024,APRIL,ADAMS,CITY OF ADAMS WARD 3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,17,12
2024,APRIL,ADAMS,CITY OF ADAMS WARD 4,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,29,28
2024,APRIL,ADAMS,CITY OF ADAMS WARD 5,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,7,7
2024,APRIL,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,0,0
2024,APRIL,ASHLAND,TOWN OF AGENDA WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,28,27
2024,APRIL,ASHLAND,TOWN OF ASHLAND WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,76,65
2024,APRIL,ASHLAND,TOWN OF CHIPPEWA WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,24,21
2024,APRIL,ASHLAND,TOWN OF GINGLES WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,67,62
2024,APRIL,ASHLAND,TOWN OF GINGLES WARD 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,20,16
2024,APRIL,ASHLAND,TOWN OF GORDON WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,28,28
2024,APRIL,ASHLAND,TOWN OF JACOBS WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,29,28
2024,APRIL,ASHLAND,TOWN OF JACOBS WARD 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,DEMOCRATIC,JOE BIDEN,5,5
