year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2026,APRIL,ADAMS,TOWN OF ADAMS WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,318,155
2026,APRIL,ADAMS,TOWN OF BIG FLATS WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,262,116
2026,APRIL,ADAMS,TOWN OF COLBURN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,51,20
2026,APRIL,ADAMS,TOWN OF DELL PRAIRIE WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,401,215
2026,APRIL,ADAMS,TOWN OF EASTON WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,237,120
2026,APRIL,ADAMS,TOWN OF JACKSON WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,372,177
2026,APRIL,ADAMS,TOWN OF LEOLA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,63,21
2026,APRIL,ADAMS,TOWN OF LINCOLN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,119,48
2026,APRIL,ADAMS,TOWN OF MONROE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,144,58
2026,APRIL,ADAMS,TOWN OF NEW CHESTER WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,211,99
2026,APRIL,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,198,103
2026,APRIL,ADAMS,TOWN OF PRESTON WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,353,157
2026,APRIL,ADAMS,TOWN OF QUINCY WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,324,190
2026,APRIL,ADAMS,TOWN OF RICHFIELD WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,49,16
2026,APRIL,ADAMS,TOWN OF ROME WARDS 1-4,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,1248,585
2026,APRIL,ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,311,153
2026,APRIL,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,363,173
2026,APRIL,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,108,60
2026,APRIL,ADAMS,CITY OF ADAMS WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,68,32
2026,APRIL,ADAMS,CITY OF ADAMS WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,101,61
2026,APRIL,ADAMS,CITY OF ADAMS WARD 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,44,21
2026,APRIL,ADAMS,CITY OF ADAMS WARD 4,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,56,35
2026,APRIL,ADAMS,CITY OF ADAMS WARD 5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,23,12
2026,APRIL,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,15,7
2026,APRIL,ASHLAND,TOWN OF AGENDA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,208,86
2026,APRIL,ASHLAND,TOWN OF ASHLAND WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,204,116
2026,APRIL,ASHLAND,TOWN OF CHIPPEWA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,166,84
2026,APRIL,ASHLAND,TOWN OF GINGLES WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,156,94
2026,APRIL,ASHLAND,TOWN OF GINGLES WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,48,31
2026,APRIL,ASHLAND,TOWN OF GORDON WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,87,46
2026,APRIL,ASHLAND,TOWN OF JACOBS WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,105,49
2026,APRIL,ASHLAND,TOWN OF JACOBS WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,37,11
2026,APRIL,ASHLAND,TOWN OF LA POINTE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,192,157
2026,APRIL,ASHLAND,TOWN OF MARENGO WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,112,62
2026,APRIL,ASHLAND,TOWN OF MORSE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,129,66
2026,APRIL,ASHLAND,TOWN OF MORSE WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,67,37
2026,APRIL,ASHLAND,TOWN OF PEEKSVILLE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,CHRIS TAYLOR,38,13
