year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2003,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,283,111
2003,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,283,172
2003,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,283,0
2003,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,288,131
2003,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,288,157
2003,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,288,0
2003,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,58,21
2003,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,58,37
2003,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,58,0
2003,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,230,105
2003,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,230,123
2003,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,230,2
2003,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,246,98
2003,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,246,148
2003,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,246,0
2003,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,172,74
2003,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,172,98
2003,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,172,0
2003,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,54,19
2003,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,54,35
2003,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,54,0
2003,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,78,33
2003,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,78,45
2003,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,78,0
2003,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,171,68
2003,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,171,103
2003,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,171,0
2003,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,194,89
2003,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,194,105
2003,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,194,0
2003,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,257,120
2003,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,257,137
2003,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,257,0
2003,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ED BRUNNER,364,142
2003,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,PAT ROGGENSACK,364,222
