year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2018,APRIL,ADAMS,TOWN OF ADAMS WARD 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,247,132
2018,APRIL,ADAMS,TOWN OF BIG FLATS WARD 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,159,74
2018,APRIL,ADAMS,TOWN OF COLBURN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,41,20
2018,APRIL,ADAMS,TOWN OF DELL PRAIRIE WARD 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,234,124
2018,APRIL,ADAMS,TOWN OF EASTON WARD 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,193,120
2018,APRIL,ADAMS,TOWN OF JACKSON WARD 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,205,112
2018,APRIL,ADAMS,TOWN OF LEOLA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,49,38
2018,APRIL,ADAMS,TOWN OF LINCOLN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,75,45
2018,APRIL,ADAMS,TOWN OF MONROE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,109,56
2018,APRIL,ADAMS,TOWN OF NEW CHESTER WARD 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,129,60
2018,APRIL,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,133,56
2018,APRIL,ADAMS,TOWN OF PRESTON WARD 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,283,130
2018,APRIL,ADAMS,TOWN OF QUINCY WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,225,110
2018,APRIL,ADAMS,TOWN OF RICHFIELD WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,41,27
2018,APRIL,ADAMS,TOWN OF ROME WARD 1-5,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,783,358
2018,APRIL,ADAMS,TOWN OF SPRINGVILLE WARD 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,229,132
2018,APRIL,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,235,121
2018,APRIL,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,123,52
2018,APRIL,ADAMS,CITY OF ADAMS WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,90,52
2018,APRIL,ADAMS,CITY OF ADAMS WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,103,39
2018,APRIL,ADAMS,CITY OF ADAMS WARD 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,57,29
2018,APRIL,ADAMS,CITY OF ADAMS WARD 4,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,58,22
2018,APRIL,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,5,3
2018,APRIL,ASHLAND,TOWN OF AGENDA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,74,43
2018,APRIL,ASHLAND,TOWN OF ASHLAND WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,90,23
2018,APRIL,ASHLAND,TOWN OF CHIPPEWA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,97,60
2018,APRIL,ASHLAND,TOWN OF GINGLES WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,145,51
2018,APRIL,ASHLAND,TOWN OF GORDON WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,31,20
2018,APRIL,ASHLAND,TOWN OF GORDON WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,12,5
2018,APRIL,ASHLAND,TOWN OF JACOBS WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,103,49
2018,APRIL,ASHLAND,TOWN OF LA POINTE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,175,41
2018,APRIL,ASHLAND,TOWN OF MARENGO WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,53,15
2018,APRIL,ASHLAND,TOWN OF MARENGO WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,46,12
2018,APRIL,ASHLAND,TOWN OF MORSE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,68,24
2018,APRIL,ASHLAND,TOWN OF MORSE WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,10,3
2018,APRIL,ASHLAND,TOWN OF MORSE WARD 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,8,3
2018,APRIL,ASHLAND,TOWN OF PEEKSVILLE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,26,19
2018,APRIL,ASHLAND,TOWN OF PEEKSVILLE WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,21,10
2018,APRIL,ASHLAND,TOWN OF SANBORN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,60,9
2018,APRIL,ASHLAND,TOWN OF SANBORN WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,66,10
2018,APRIL,ASHLAND,TOWN OF SHANAGOLDEN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,23,7
2018,APRIL,ASHLAND,TOWN OF WHITE RIVER WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,139,86
2018,APRIL,ASHLAND,TOWN OF WHITE RIVER WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,18,13
2018,APRIL,ASHLAND,VILLAGE OF BUTTERNUT WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,7,1
2018,APRIL,ASHLAND,VILLAGE OF BUTTERNUT WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,65,25
2018,APRIL,ASHLAND,CITY OF ASHLAND WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,197,91
2018,APRIL,ASHLAND,CITY OF ASHLAND WARD 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,88,21
2018,APRIL,ASHLAND,CITY OF ASHLAND WARD 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,123,38
2018,APRIL,ASHLAND,CITY OF ASHLAND WARD 4,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,MICHAEL SCRENOCK,195,51
