year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2012,APRIL,ADAMS,TOWN OF ADAMS WARDS 1-3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,152,12
2012,APRIL,ADAMS,TOWN OF BIG FLATS WARDS 1 & 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,101,11
2012,APRIL,ADAMS,TOWN OF COLBURN WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,31,3
2012,APRIL,ADAMS,TOWN OF DELL PRAIRIE WARDS 1-3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,153,8
2012,APRIL,ADAMS,TOWN OF EASTON WARDS 1 & 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,111,6
2012,APRIL,ADAMS,TOWN OF JACKSON WARDS 1 & 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,145,13
2012,APRIL,ADAMS,TOWN OF LEOLA WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,48,4
2012,APRIL,ADAMS,TOWN OF LINCOLN WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,57,5
2012,APRIL,ADAMS,TOWN OF MONROE WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,88,2
2012,APRIL,ADAMS,TOWN OF NEW CHESTER WARD 1-3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,85,8
2012,APRIL,ADAMS,TOWN OF NEW HAVEN WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,85,5
2012,APRIL,ADAMS,TOWN OF PRESTON WARDS 1 & 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,179,18
2012,APRIL,ADAMS,TOWN OF QUINCY WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,151,9
2012,APRIL,ADAMS,TOWN OF RICHFIELD WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,27,1
2012,APRIL,ADAMS,TOWN OF ROME WARDS 1-2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,291,24
2012,APRIL,ADAMS,TOWN OF ROME WARDS 3-4,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,269,23
2012,APRIL,ADAMS,TOWN OF ROME WARD 5,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,126,21
2012,APRIL,ADAMS,TOWN OF SPRINGVILLE WARDS 1 & 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,143,7
2012,APRIL,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,139,12
2012,APRIL,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,71,5
2012,APRIL,ADAMS,CITY OF ADAMS WARD 1,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,50,3
2012,APRIL,ADAMS,CITY OF ADAMS WARD 2,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,55,6
2012,APRIL,ADAMS,CITY OF ADAMS WARD 3,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,20,1
2012,APRIL,ADAMS,CITY OF ADAMS WARD 4,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,31,2
2012,APRIL,ADAMS,CITY OF WISCONSIN DELLS WARDS 5 & 9,PRESIDENTIAL PREFERENCE PRIMARY,PRESIDENT,REPUBLICAN,NEWT GINGRICH,0,0
