year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2007,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,131,69
2007,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,131,61
2007,APRIL,ADAMS,ADAMS TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,131,1
2007,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,165,64
2007,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,165,100
2007,APRIL,ADAMS,BIG FLATS TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,165,1
2007,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,46,19
2007,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,46,27
2007,APRIL,ADAMS,COLBURN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,46,0
2007,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,469,203
2007,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,469,266
2007,APRIL,ADAMS,DELL PRAIRIE TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,469,0
2007,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,125,53
2007,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,125,72
2007,APRIL,ADAMS,EASTON TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,125,0
2007,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,140,48
2007,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,140,92
2007,APRIL,ADAMS,JACKSON TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,140,0
2007,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,66,29
2007,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,66,37
2007,APRIL,ADAMS,LEOLA TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,66,0
2007,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,41,13
2007,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,41,28
2007,APRIL,ADAMS,LINCOLN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,41,0
2007,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,107,41
2007,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,107,66
2007,APRIL,ADAMS,MONROE TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,107,0
2007,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,143,66
2007,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,143,77
2007,APRIL,ADAMS,NEW CHESTER TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,143,0
2007,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,240,102
2007,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,240,138
2007,APRIL,ADAMS,NEW HAVEN TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,240,0
2007,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,138,55
2007,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,138,82
2007,APRIL,ADAMS,PRESTON TOWN WARDS 1 - 3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,138,1
2007,APRIL,ADAMS,QUINCY TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,130,69
2007,APRIL,ADAMS,QUINCY TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,130,61
2007,APRIL,ADAMS,QUINCY TOWN WARDS 1 & 2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,SCATTERING,130,0
2007,APRIL,ADAMS,RICHFIELD TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,LINDA M. CLIFFORD,24,10
2007,APRIL,ADAMS,RICHFIELD TOWN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,ANNETTE K. ZIEGLER,24,14
